player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Wang Zepeng,Robin Otto,7,1102,939,0.7111524094404451,0.6004882745269664,46,24,260,132,28,11,143,60,24,12,74,42,9,1,43,16,4,0,0.0,1.0,2945
Long Zehuang,Adam Edge,7,1082,1038,0.5599145707304132,0.5274723043445937,27,15,148,73,56,23,314,148,74,42,111,62,21,11,102,52,4,2,0.0,0.6666666666666666,2945
Qingtian Yang,Elliott Weston,7,1054,980,0.6000303895586184,0.5461185410457796,10,7,50,31,2,0,11,3,50,31,50,31,11,3,11,3,4,0,0.0,1.0,2945
Daniel Womersley,Florian Nüßle,7,1042,1017,0.534135239137421,0.5156199157230156,36,15,206,94,11,5,56,27,33,20,107,51,30,13,56,27,4,3,0.0,0.5714285714285714,2945
Michael Wild,James Silverwood,7,1163,987,0.726023440718493,0.6082590307465143,318,165,1944,1025,84,26,445,181,14,6,152,74,13,5,73,35,4,1,0.0,0.8,2945
Sam Gates,Ronan Whyte,7,985,958,0.5368580821797788,0.5168685956913848,2,0,10,2,6,1,27,6,10,2,10,2,8,0,27,6,2,4,1.0,0.33333333333333337,2945
Patrick Whelan,Constantin Mateescu,7,1038,939,0.6326419490877371,0.5615610703361955,29,12,150,74,6,1,25,4,23,10,116,64,13,4,25,4,4,0,0.0,1.0,2945
Joshua Thomond,Stuart Watson,7,990,888,0.636493218271929,0.5634067862621936,30,13,165,77,48,10,260,95,18,7,105,48,16,8,48,25,3,4,1.0,0.4285714285714286,2945
Mark Vincent,Ka Wai Cheung,7,892,1039,0.30768847003935795,0.4091452475454057,52,16,264,101,16,7,91,44,12,4,75,31,30,20,78,41,0,4,1.0,0.0,2945
Lucky Vatnani,Zhang Yong,7,1039,1207,0.2830802923189607,0.3965167501352737,85,33,476,210,126,54,758,329,27,17,80,42,18,8,422,193,4,0,0.0,1.0,2945
Chris Totten,Soheil Vahedi,7,1009,1101,0.3763991151094567,0.4427521454014445,47,10,294,100,50,11,329,123,12,4,243,79,58,21,294,110,2,4,1.0,0.33333333333333337,2945
Wayne Townsend,Rebecca Kenna,7,965,972,0.4904306643721704,0.4956251116502266,43,19,272,126,2,0,8,0,15,4,56,18,8,0,8,0,4,2,0.0,0.6666666666666666,2945
Aman Goel,Gary Thomson,7,984,1086,0.3635067817280708,0.43659321373780635,3,1,16,6,167,86,1191,604,16,6,16,6,35,20,50,28,1,4,1.0,0.19999999999999996,2945
Jed Mann,Allan Taylor,7,960,1219,0.18935514369861794,0.34355312754339407,6,1,33,10,323,152,1928,936,12,4,33,10,58,34,437,203,0,4,1.0,0.0,2945
Daniel Williams,Alex Taubman,7,981,1096,0.3469916118703662,0.4286160183230676,5,1,26,10,171,77,927,426,13,5,26,10,26,13,104,53,0,4,1.0,0.0,2945
Tam Mustafa,Tomasz Skalski,7,988,1041,0.42796070219744664,0.46692337763389535,58,26,328,152,53,22,295,137,11,3,34,11,13,5,20,8,1,4,1.0,0.19999999999999996,2945
William Thomson,Luke Simmonds,7,933,1191,0.19026196310320564,0.3441171587921863,9,2,40,11,140,76,919,476,9,1,31,10,14,6,176,94,1,4,1.0,0.19999999999999996,2945
Xu Si,James Burrett,7,1187,821,0.8914125527550687,0.7140222267773016,68,22,472,197,39,8,199,60,72,29,358,150,12,4,45,14,4,0,0.0,1.0,2945
Chae Ross,Gary Challis,7,1044,934,0.6466907800352545,0.5683199834782481,19,11,106,55,15,4,75,27,40,22,106,55,8,0,54,19,4,2,0.0,0.6666666666666666,2945
Stephen Groves,Adrian Rosa,7,893,1170,0.1735178036771714,0.3334771667448877,29,7,153,54,283,156,2197,1130,13,5,31,12,25,14,66,37,0,4,1.0,0.0,2945
Lee Richardson,Imran Puri,7,1003,652,0.8819896948101545,0.706303891936407,283,135,2112,1034,66,9,324,73,31,17,31,17,9,1,51,18,4,1,0.0,0.8,2945
James Welch,Ian Preece,7,941,1198,0.19117161406779326,0.34468162982610495,5,0,23,3,231,122,1654,838,10,2,23,3,54,29,269,116,0,4,1.0,0.0,2945
Ka Lam Lau,George Pragnall,7,978,1110,0.3258572551479266,0.4182406231581637,2,0,10,2,58,29,329,161,10,2,10,2,24,14,142,74,0,4,1.0,0.0,2945
Keishin Kamihashi,Andreas Ploner,7,1000,1104,0.3609473704892454,0.4353637081969708,10,5,51,23,75,36,401,194,37,21,47,23,38,20,132,66,1,4,1.0,0.19999999999999996,2945
Luke Pinches,Kreishh Gurbaxani,7,997,1003,0.4917974901893887,0.496250070310918,14,6,78,35,3,1,18,9,28,15,66,30,18,9,18,9,4,1,0.0,0.8,2945
Sean McAllister,Barry Pinches,7,964,1220,0.1920840951325451,0.3452465393936808,5,0,29,9,760,393,5854,3036,11,3,29,9,102,46,237,128,2,4,1.0,0.33333333333333337,2945
Manasawin Phetmalaikul,Ian Brumby,7,957,1085,0.3307800690413796,0.4206757478512505,16,5,86,34,412,211,2997,1514,16,7,59,23,10,2,32,14,4,0,0.0,1.0,2945
Jason Tart,Fraser Patrick,7,971,1184,0.2339645522127668,0.36993399171498176,19,6,99,40,218,91,1414,648,15,6,32,14,73,32,215,101,1,4,1.0,0.19999999999999996,2945
Ivan Kakovskii,Riley Parsons,7,988,1043,0.42527567806654565,0.4656790563306954,9,3,63,23,13,5,86,36,19,8,19,8,86,36,86,36,3,4,1.0,0.4285714285714286,2945
Andrew Pagett,Fang Xiongman,7,1181,1243,0.4159079412233711,0.461327394793492,265,121,1732,839,101,48,613,294,43,24,94,56,39,26,355,171,4,3,0.0,0.5714285714285714,2945
Ng On Yee,Shehzad Iqbal,7,989,961,0.5382188233953898,0.5174928576663897,30,12,192,79,12,3,64,25,44,17,136,55,16,7,49,22,4,1,0.0,0.8,2945
Simon Blackwell,Heikki Niva,7,1066,1039,0.5368580821797788,0.5168685956913848,19,10,101,54,17,8,94,50,42,25,77,40,17,7,94,50,2,4,1.0,0.33333333333333337,2945
Ross Muir,Laxman Rawat,7,1194,1056,0.6814665603465866,0.585404569129465,174,64,1145,504,19,9,106,51,17,8,354,150,20,10,63,32,4,1,0.0,0.8,2945
Geng Mingqi,Lee Stephens,7,1086,982,0.6390526295107546,0.5646362918030292,27,14,158,85,6,1,35,14,29,18,110,66,17,8,17,8,4,0,0.0,1.0,2945
Alex Millington,Haydon Pinhey,7,1001,1038,0.4495579375648125,0.4768914745109111,8,3,48,24,19,10,115,59,28,16,48,24,24,12,86,44,4,3,0.0,0.5714285714285714,2945
Digvijay Kadian,Andy Milliard,7,985,979,0.5082025098106113,0.5037499296890819,2,0,13,5,10,3,59,25,13,5,13,5,11,3,59,25,2,4,1.0,0.33333333333333337,2945
Garry Coulson,Ben Mertens,7,976,996,0.47267901795721334,0.48750260351578967,3,0,17,5,10,4,50,21,10,2,10,2,22,7,46,21,1,4,1.0,0.19999999999999996,2945
Aditya Mehta,Luis Vetter,7,1272,988,0.8323923521776074,0.6704011598088686,297,143,2041,1003,5,1,26,10,34,20,298,141,8,0,26,10,4,1,0.0,0.8,2945
James Lee,Rory McLeod,7,989,1211,0.22477678509532462,0.3647051506771929,2,0,12,4,593,318,4419,2270,12,4,12,4,26,18,491,224,0,4,1.0,0.0,2945
Andy Marriott,Owais Ali,7,947,968,0.4713154170628733,0.4868780138177567,30,8,173,70,10,3,49,16,27,15,48,24,24,11,40,15,4,1,0.0,0.8,2945
Bash Maqsood,Dessie Sheehan,7,922,662,0.8115488427624657,0.6570104626734988,29,7,159,59,179,34,1329,480,11,3,52,19,0,0,20,0,4,0,0.0,1.0,2945
Hrithik Jain,Sean Maddocks,7,986,983,0.5041014855971091,0.501874991210987,7,2,35,13,11,5,61,27,10,2,10,2,10,2,61,27,1,4,1.0,0.19999999999999996,2945
Callum Lloyd,Qiu Yalong,7,1016,996,0.5273209820427867,0.5124973964842103,37,14,194,89,12,5,65,30,36,23,70,41,22,11,22,11,4,3,0.0,0.5714285714285714,2945
David Lilley,Barry Lee,7,1257,969,0.8357070215370299,0.6726070170677604,111,60,683,358,8,2,44,17,64,24,301,150,17,7,17,7,4,1,0.0,0.8,2945
Peifan Lei,Yasir Nadeem,7,1065,957,0.644151517953897,0.5670929049654543,17,7,106,47,4,0,19,3,106,47,106,47,11,3,11,3,4,2,0.0,0.6666666666666666,2945
Sean O'Sullivan,Gary Lees,7,1127,1031,0.6287764284690307,0.559713649267193,220,87,1377,621,265,141,1916,985,24,13,327,127,10,2,10,2,3,4,1.0,0.4285714285714286,2945
Daegyu Lee,Levi Meiller,7,1041,896,0.6899164671577602,0.5896454785627312,12,7,66,38,8,0,48,5,23,11,66,38,11,3,11,3,4,1,0.0,0.8,2945
Stuart Hinton,Fung Kwok Wai,7,971,1051,0.3920645840647389,0.45016600268752205,27,13,185,94,22,9,144,68,10,2,10,2,12,4,12,4,0,4,1.0,0.0,2945
Yu Kiu Chang,Marvin Morgan,7,991,988,0.5041014855971089,0.5018749912109869,5,2,28,11,2,0,12,4,24,11,24,11,12,4,12,4,4,1,0.0,0.8,2945
Stephen Kershaw,Abdul Raheem,7,987,980,0.5095693356278297,0.5043748883497735,191,81,1368,649,2,0,10,2,12,4,48,21,10,2,10,2,4,2,0.0,0.6666666666666666,2945
Tugba Irten,Jenson Kendrick,7,959,932,0.5368580821797788,0.5168685956913848,20,8,115,48,11,1,60,19,12,4,43,13,10,2,54,17,0,4,1.0,0.0,2945
Kuldesh Johal,Leo Fernandez,7,1155,1152,0.5041014855971089,0.5018749912109869,222,125,1451,773,434,256,3261,1738,11,3,124,67,29,17,161,65,4,0,0.0,1.0,2945
Jack Bradford,Liu Jiaming,7,978,999,0.4713154170628733,0.48687801381775675,54,18,291,121,21,7,118,51,26,14,91,49,16,6,53,27,2,4,1.0,0.33333333333333337,2945
Jamie Barrett,Si Jiahui,7,1006,1174,0.2830802923189606,0.39651675013527365,96,36,550,226,25,14,141,79,16,6,232,75,135,77,135,77,0,4,1.0,0.0,2945
Ashley Hugill,Peter Lines,7,1185,1261,0.3973295650806627,0.4526423818569107,125,57,710,335,812,433,5845,3017,22,12,306,136,113,54,512,246,4,3,0.0,0.5714285714285714,2945
James Height,Daniel Holoyda,7,929,988,0.41991680863949377,0.46319171001101966,10,2,53,16,11,5,59,26,11,3,53,16,16,6,48,23,3,4,1.0,0.4285714285714286,2945
Neal Jones,Aaron Hill,7,1007,993,0.5191328123553782,0.5087491068802403,143,65,971,460,3,1,14,6,16,8,25,9,14,6,14,6,3,4,1.0,0.4285714285714286,2945
Thomas Hilborne,Lewis Parnham,7,938,978,0.4454942008640322,0.47502081252106,6,0,29,5,3,1,13,4,9,1,9,1,13,4,13,4,4,2,0.0,0.6666666666666666,2945
Zsolt Fenyvesi,Andy Hicks,7,971,1266,0.15860165092898526,0.32355106665152034,3,0,17,5,645,349,5116,2653,12,4,17,5,99,48,302,161,0,4,1.0,0.0,2945
Louis Heathcote,Reanne Evans,7,1221,1060,0.7088291167182063,0.5992881635083561,63,31,366,185,150,55,857,361,131,71,221,123,44,14,167,71,4,1,0.0,0.8,2945
Joshua Cooper,Jack Harris,7,992,987,0.506835581479668,0.5031249593105317,35,14,184,83,3,1,14,5,16,8,80,38,14,5,14,5,2,4,1.0,0.33333333333333337,2945
Ben Hancorn,John Welsh,7,1055,1024,0.5422981239384312,0.519365308229932,33,15,206,102,57,24,342,165,16,8,66,37,29,16,29,16,4,1,0.0,0.8,2945
Steven Hallworth,Omar Alajlani,7,1218,971,0.7995764997363425,0.6496497492904088,111,47,649,302,8,3,39,14,28,14,157,92,14,4,39,14,4,0,0.0,1.0,2945
Matthew Glasby,Danny Brindle,7,975,895,0.6079354159352611,0.549833997312478,54,22,289,128,23,4,127,42,27,15,114,57,26,13,48,21,4,0,0.0,1.0,2945
Ben Fortey,Jamie Cope,7,971,1250,0.1718149639563902,0.3323667428828845,24,7,128,53,574,308,3862,1974,10,2,54,26,0,0,218,123,4,2,0.0,0.6666666666666666,2945
Sergey Isaenko,Harry Farrell,7,960,993,0.4549849461247728,0.47938669028555136,15,5,77,30,2,0,12,4,10,2,54,22,12,4,12,4,0,4,1.0,0.0,2945
Shubham Arora,Ahmed Elsayed,7,980,951,0.539579088629839,0.5181170650431814,2,0,9,1,5,0,23,3,9,1,9,1,8,0,23,3,1,4,1.0,0.19999999999999996,2945
Leonard Degriffa,Callum Downing,7,983,1069,0.3842066871290606,0.44645609684888166,2,0,11,3,42,21,231,115,11,3,11,3,34,20,34,20,2,4,1.0,0.33333333333333337,2945
Andrew Doherty,Mark Ganderton,7,1035,761,0.8239065989069515,0.6648537304059736,9,6,46,27,79,18,540,190,37,22,37,22,11,3,25,5,4,3,0.0,0.5714285714285714,2945
Billy Ginn,Himanshu Dinesh Jain,7,918,1042,0.33573422151202137,0.4231147388679537,8,1,36,7,13,8,70,38,8,0,36,7,26,15,70,38,2,4,1.0,0.33333333333333337,2945
Umut Dikme,Dean Young,7,1045,1006,0.5531518743848329,0.5243557087682073,16,8,83,43,6,4,39,20,11,3,83,43,39,20,39,20,4,3,0.0,0.5714285714285714,2945
Peter Devlin,Amir Sarkhosh,7,988,1104,0.3457334311872113,0.4280038670684813,39,16,199,88,15,7,95,50,16,5,107,56,32,22,32,22,4,2,0.0,0.6666666666666666,2945
Lee Shanker,Simon Dent,7,879,973,0.37380831662168235,0.44151888756183866,39,9,203,67,42,17,219,99,11,3,46,15,15,5,91,39,3,4,1.0,0.4285714285714286,2945
Tom Pendlebury,Paul Davison,7,978,1198,0.22679952149986327,0.36586440898919925,2,0,9,1,692,356,4811,2426,9,1,9,1,34,20,372,165,0,4,1.0,0.0,2945
Ryan Davies,Kengo Suzuki,7,1036,978,0.578744911388209,0.5361866202317948,12,7,60,31,2,0,10,2,40,18,60,31,10,2,10,2,4,0,0.0,1.0,2945
Jeff Cundy,Jamie Trump,7,1116,931,0.7360780864464773,0.6136070778047783,532,281,3701,1916,5,0,22,2,16,7,104,52,10,2,22,2,4,0,0.0,1.0,2945
Matthew Couch,Oliver Brown,7,1093,1184,0.3776967488123118,0.4433690400777466,526,296,3995,2095,192,88,1038,498,29,16,50,24,15,6,139,75,4,0,0.0,1.0,2945
Ian Desmier,Tony Corrigan,7,980,959,0.5286845829371267,0.5131219861822434,3,1,14,4,13,3,69,26,14,4,14,4,12,4,26,6,0,4,1.0,0.0,2945
Brian Cini,Aaron Busuttil,7,1113,1025,0.6184015843393024,0.5547792351072148,51,26,271,145,17,9,88,44,19,8,92,49,16,7,47,22,4,1,0.0,0.8,2945
Paul Burrell,Au Chi Wai,7,890,1058,0.2830802923189606,0.39651675013527365,26,6,154,55,37,17,214,93,13,5,54,21,37,21,37,21,0,4,1.0,0.0,2945
Dylan Emery,Billy Joe Castle,7,1022,1185,0.2888475905595549,0.3995117254730336,15,8,82,41,84,39,510,239,22,10,82,41,128,62,426,192,3,4,1.0,0.4285714285714286,2945
Ross Bulman,Haider Ali,7,1032,954,0.6053054839891849,0.5485961085831343,16,6,85,37,5,0,27,7,61,25,85,37,12,4,27,7,4,3,0.0,0.5714285714285714,2945
Richard Binns,Kayden Brierley,7,976,1033,0.42259433748998776,0.4644351620161461,7,2,34,13,6,4,35,20,18,9,18,9,35,20,35,20,0,4,1.0,0.0,2945
Alex Borg,Josh Boileau,7,1065,1066,0.4986328153483015,0.4993750003255206,396,165,2778,1248,92,35,535,231,84,31,285,101,12,4,196,68,0,4,1.0,0.0,2945
Iulian Boiko,Felix Frede,7,974,972,0.5027343522137269,0.5012499973958399,10,2,54,18,42,18,225,102,22,8,54,18,33,17,106,47,4,2,0.0,0.6666666666666666,2945
Simon Bedford,Brandon Hall,7,1235,973,0.8133483117002799,0.6581363150480182,440,256,3329,1794,11,4,55,20,24,12,129,76,9,1,55,20,4,3,0.0,0.5714285714285714,2945
Surinder Gill,Nezar Asseri,7,1086,979,0.6428793213307706,0.566479055967628,200,101,1609,812,2,0,10,2,20,12,20,12,10,2,10,2,3,4,1.0,0.4285714285714286,2945
Chau Hon Man,Mohammed Asif,7,968,1129,0.29117088328179375,0.4007118364916439,10,2,63,21,22,7,161,77,17,7,17,7,21,13,21,13,1,4,1.0,0.19999999999999996,2945
Matthew Roberts,Hamza Akbar,7,940,1055,0.3469916118703662,0.4286160183230676,15,5,80,30,58,13,368,129,18,7,80,30,32,16,221,78,0,4,1.0,0.0,2945
Farakh Ajaib,Fergal Quinn,7,1057,1023,0.5463726874746992,0.5212372149662741,54,26,303,146,8,5,45,25,18,8,113,53,41,25,45,25,4,0,0.0,1.0,2945
Chen Zifan,Jack Harris,7,1215,987,0.7812257884147848,0.6387631751488418,100,46,577,264,3,1,14,5,94,49,365,166,14,5,14,5,4,2,0.0,0.6666666666666666,2945
Thomas Hilborne,Guan Zhen,7,938,1108,0.28078993585311673,0.39532091528599067,6,0,29,5,36,21,191,103,9,1,9,1,34,21,34,21,0,4,1.0,0.0,2945
Alex Taubman,Chen Zhe,7,1096,1138,0.442788396574771,0.4737740906279313,171,77,927,426,217,101,1337,641,26,13,104,53,11,3,251,100,2,4,1.0,0.33333333333333337,2945
Aaron Hill,Wang Zepeng,7,993,1102,0.35457799138330326,0.4322934519266399,3,1,14,6,46,24,260,132,14,6,14,6,24,12,74,42,0,4,1.0,0.0,2945
Wayne Townsend,Qingtian Yang,7,965,1054,0.3802964135005038,0.4446033516794108,43,19,272,126,10,7,50,31,15,4,56,18,50,31,50,31,1,4,1.0,0.19999999999999996,2945
Daniel Womersley,Raymond Fry,7,1042,977,0.5880916350836762,0.5405358392737893,36,15,206,94,19,6,104,45,33,20,107,51,17,8,22,9,4,1,0.0,0.8,2945
Lewis Gillen,Michael Wild,7,974,1163,0.2595181866802163,0.3840246980818742,16,6,83,36,318,165,1944,1025,20,9,28,9,14,6,152,74,1,4,1.0,0.19999999999999996,2945
Andrew Doherty,Patrick Whelan,7,1035,1038,0.4958985144028911,0.4981250087890131,9,6,46,27,29,12,150,74,37,22,37,22,23,10,116,64,2,4,1.0,0.33333333333333337,2945
Tyler Rees,Soheil Vahedi,7,981,1101,0.3407189393701997,0.42555748318834097,24,9,142,56,50,11,329,123,17,7,110,48,58,21,294,110,2,4,1.0,0.33333333333333337,2945
Farakh Ajaib,Alexander Ursenbacher,7,1057,1284,0.21976777945335857,0.36181388669099446,54,26,303,146,144,65,899,419,18,8,113,53,145,76,469,224,2,4,1.0,0.33333333333333337,2945
Tony Corrigan,Zak Surety,7,959,1137,0.271724888745416,0.39055021637167475,13,3,69,26,137,63,797,380,12,4,26,6,36,22,94,49,0,4,1.0,0.0,2945
Luke Simmonds,Shane Castle,7,1191,1125,0.589422689021118,0.541156668150228,140,76,919,476,81,39,477,235,14,6,176,94,57,33,118,69,4,0,0.0,1.0,2945
Xu Si,Allan Taylor,7,1187,1219,0.4563431395453441,0.4800106598444182,68,22,472,197,323,152,1928,936,72,29,358,150,58,34,437,203,4,1,0.0,0.8,2945
Lin Shuai,Manasawin Phetmalaikul,7,1093,957,0.6790334655716898,0.5841905229354074,41,20,245,117,16,5,86,34,32,18,32,18,16,7,59,23,4,1,0.0,0.8,2945
Chae Ross,Craig Farrar,7,1044,979,0.5880916350836762,0.5405358392737893,19,11,106,55,2,0,10,2,40,22,106,55,10,2,10,2,4,0,0.0,1.0,2945
Adrian Rosa,Fraser Patrick,7,1170,1184,0.4808671876446218,0.4912508931197597,283,156,2197,1130,218,91,1414,648,25,14,66,37,73,32,215,101,4,3,0.0,0.5714285714285714,2945
Steven Hallworth,Lee Richardson,7,1218,1003,0.7680961089120268,0.6312306626164006,111,47,649,302,283,135,2112,1034,28,14,157,92,31,17,31,17,2,4,1.0,0.33333333333333337,2945
Dave Nelson,Ian Preece,7,962,1198,0.21092510365038541,0.35663485430559827,8,3,40,14,231,122,1654,838,22,10,40,14,54,29,269,116,1,4,1.0,0.19999999999999996,2945
Lewis Ullah,George Pragnall,7,973,1110,0.3197489554385172,0.415202325282263,5,0,30,10,58,29,329,161,13,5,30,10,24,14,142,74,0,4,1.0,0.0,2945
Andreas Ploner,Robbie Mcguigan,7,1104,969,0.6778138346852377,0.5835831155172753,75,36,401,194,3,0,14,2,38,20,132,66,14,2,14,2,4,2,0.0,0.6666666666666666,2945
Gary Lees,Barry Pinches,7,1031,1220,0.2595181866802163,0.3840246980818742,265,141,1916,985,760,393,5854,3036,10,2,10,2,102,46,237,128,2,4,1.0,0.33333333333333337,2945
Ryan Davies,Andres Petrov,7,1036,1024,0.516401329564288,0.5074994375506203,12,7,60,31,22,10,122,57,40,18,60,31,24,11,81,34,2,4,1.0,0.33333333333333337,2945
Andrew Pagett,Aditya Mehta,7,1181,1272,0.3776967488123118,0.4433690400777466,265,121,1732,839,297,143,2041,1003,43,24,94,56,34,20,298,141,4,0,0.0,1.0,2945
Michael Collumb,Ng On Yee,7,1118,989,0.6704536022204193,0.5799334001885057,76,34,412,206,30,12,192,79,41,24,111,57,44,17,136,55,1,4,1.0,0.19999999999999996,2945
Kuldesh Johal,Jamie O'Neill,7,1155,1236,0.3907515745539447,0.4495472886604722,222,125,1451,773,305,158,1924,996,11,3,124,67,59,22,184,99,3,4,1.0,0.4285714285714286,2945
Heikki Niva,Joe Delaney,7,1039,1189,0.3041121924541114,0.4073334000459302,17,8,94,50,397,206,3181,1608,17,7,94,50,5,1,5,1,4,2,0.0,0.6666666666666666,2945
Wu Yize,Ross Muir,7,1028,1194,0.2853801489272094,0.3977138231113694,10,1,72,26,174,64,1145,504,72,26,72,26,17,8,354,150,3,4,1.0,0.4285714285714286,2945
Ben Fortey,Geng Mingqi,7,971,1086,0.3469916118703662,0.4286160183230676,24,7,128,53,27,14,158,85,10,2,54,26,29,18,110,66,2,4,1.0,0.33333333333333337,2945
Ka Wai Cheung,Rory McLeod,7,1039,1211,0.27850914938679605,0.3941263315682394,16,7,91,44,593,318,4419,2270,30,20,78,41,26,18,491,224,3,4,1.0,0.4285714285714286,2945
Tomasz Skalski,Jamie McArdle,7,1041,1033,0.510936041856229,0.5049998333399996,53,22,295,137,17,8,94,49,13,5,20,8,33,19,78,41,1,4,1.0,0.19999999999999996,2945
Bash Maqsood,Simon Dent,7,922,973,0.4306492811221761,0.4681681105837757,29,7,159,59,42,17,219,99,11,3,52,19,15,5,91,39,4,1,0.0,0.8,2945
Dave Finbow,Sean Maddocks,7,1158,983,0.7248939369984414,0.6076631698328917,306,168,2437,1249,11,5,61,27,24,10,24,10,10,2,61,27,3,4,1.0,0.4285714285714286,2945
Callum Lloyd,Keith Keldie,7,1016,917,0.6326419490877371,0.5615610703361955,37,14,194,89,16,3,90,29,36,23,70,41,9,1,48,14,4,1,0.0,0.8,2945
Stephen Kershaw,David Lilley,7,987,1257,0.1795673548120571,0.3373781628299175,191,81,1368,649,111,60,683,358,12,4,48,21,64,24,301,150,1,4,1.0,0.19999999999999996,2945
Christopher Keogan,Peifan Lei,7,1153,1065,0.6184015843393023,0.5547792351072147,162,64,924,419,17,7,106,47,66,38,270,108,106,47,106,47,3,4,1.0,0.4285714285714286,2945
Fung Kwok Wai,Daegyu Lee,7,1051,1041,0.5136690272711699,0.5062496744995104,22,9,144,68,12,7,66,38,12,4,12,4,23,11,66,38,2,4,1.0,0.33333333333333337,2945
Sanderson Lam,Ronan Whyte,7,1085,958,0.6679843009449487,0.578714862460134,160,59,972,415,6,1,27,6,12,4,320,121,8,0,27,6,4,1,0.0,0.8,2945
Lukas Kleckers,Josh Boileau,7,1145,1066,0.6066210971235376,0.5492151291013335,88,34,535,235,92,35,535,231,45,24,289,119,12,4,196,68,4,3,0.0,0.5714285714285714,2945
Rodion Judin,Harry Farrell,7,980,993,0.4822328180835893,0.4918757150937391,17,6,103,38,2,0,12,4,34,17,48,23,12,4,12,4,4,3,0.0,0.5714285714285714,2945
Liu Jiaming,Saqib Nasir,7,999,1101,0.3635067817280711,0.4365932137378064,21,7,118,51,100,49,549,287,16,6,53,27,11,3,100,52,4,3,0.0,0.5714285714285714,2945
Ahmed Elsayed,Si Jiahui,7,951,1174,0.2237695086334116,0.36412610857294614,5,0,23,3,25,14,141,79,8,0,23,3,135,77,135,77,0,4,1.0,0.0,2945
Alex Millington,Robin Hull,7,1001,1302,0.1538339100717312,0.3202768075277943,8,3,48,24,547,321,4123,2242,28,16,48,24,36,24,364,173,2,4,1.0,0.33333333333333337,2945
Ashley Hugill,Yu Kiu Chang,7,1185,991,0.7459292301495708,0.6189278548001903,125,57,710,335,5,2,28,11,22,12,306,136,24,11,24,11,4,3,0.0,0.5714285714285714,2945
Andy Hicks,Daniel Walker,7,1266,934,0.8691888759761051,0.6963549298238342,645,349,5116,2653,5,0,23,3,99,48,302,161,9,1,23,3,4,0,0.0,1.0,2945
Andy Milliard,Louis Heathcote,7,979,1221,0.20515498938795895,0.3532006074420143,10,3,59,25,63,31,366,185,11,3,59,25,131,71,221,123,1,4,1.0,0.19999999999999996,2945
Steven Evans,Ben Hancorn,7,981,1055,0.3999696104413816,0.4538814589542204,67,35,460,233,33,15,206,102,4,0,19,3,16,8,66,37,0,4,1.0,0.0,2945
Ben Mertens,Matthew Glasby,7,996,975,0.5286845829371267,0.5131219861822434,10,4,50,21,54,22,289,128,22,7,46,21,27,15,114,57,3,4,1.0,0.4285714285714286,2945
Stuart Watson,Adam Duffy,7,888,1270,0.09918172751088483,0.2778803941506428,48,10,260,95,364,183,2312,1176,16,8,48,25,39,24,378,173,3,4,1.0,0.4285714285714286,2945
Nezar Asseri,Callum Downing,7,979,1069,0.3789958530707537,0.4439861094553801,2,0,10,2,42,21,231,115,10,2,10,2,34,20,34,20,0,4,1.0,0.0,2945
Sydney Wilson,Himanshu Dinesh Jain,7,1142,1042,0.6339273074659069,0.5621765008857982,193,74,1148,515,13,8,70,38,50,29,169,87,26,15,70,38,1,4,1.0,0.19999999999999996,2945
Peter Devlin,Long Zehuang,7,988,1082,0.3738083166216822,0.4415188875618386,39,16,199,88,27,15,148,73,16,5,107,56,74,42,111,62,4,1,0.0,0.8,2945
Paul Davison,Ryan Thomerson,7,1198,1011,0.7382850049697135,0.6147918694922195,692,356,4811,2426,23,7,151,63,34,20,372,165,37,20,71,32,4,1,0.0,0.8,2945
Jeff Cundy,Daniel Holoyda,7,1116,988,0.6692199309586204,0.5793242521487495,532,281,3701,1916,11,5,59,26,16,7,104,52,16,6,48,23,4,2,0.0,0.6666666666666666,2945
Andy Marriott,Matthew Couch,7,947,1093,0.30888492066734696,0.40974974806981657,30,8,173,70,526,296,3995,2095,27,15,48,24,29,16,50,24,2,4,1.0,0.33333333333333337,2945
Brian Cini,Jenson Kendrick,7,1113,932,0.7316341543771714,0.6112334666758695,51,26,271,145,11,1,60,19,19,8,92,49,10,2,54,17,4,3,0.0,0.5714285714285714,2945
Mohammed Asif,Au Chi Wai,7,1129,1058,0.5960612197256479,0.5442588584178731,22,7,161,77,37,17,214,93,21,13,21,13,37,21,37,21,2,4,1.0,0.33333333333333337,2945
Umut Dikme,Billy Joe Castle,7,1045,1185,0.3161086425517423,0.41338242108266987,16,8,83,43,84,39,510,239,11,3,83,43,128,62,426,192,1,4,1.0,0.19999999999999996,2945
Ross Bulman,Jake Nicholson,7,1032,1068,0.4509137915777282,0.4775151752081999,16,6,85,37,101,37,527,228,61,25,85,37,20,11,105,62,4,1,0.0,0.8,2945
Darren Burns,Kayden Brierley,7,921,1033,0.3507768876685381,0.43045377606077095,24,7,126,45,6,4,35,20,9,1,33,5,35,20,35,20,0,4,1.0,0.0,2945
