,Player1,Player2,Score1,Score2,Best Of,Round Name,Match Date,Tournament Name,Tournament id,Year,tournament_start_date
0,Mark Selby,Jimmy Robertson,3,1,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
1,Mark Selby,Ryan Day,3,2,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
2,Mark Selby,Luca Brecel,3,0,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
3,Neil Robertson,Jack Lisowski,3,1,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
4,Neil Robertson,Luca Brecel,3,1,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
5,Jimmy Robertson,Neil Robertson,3,0,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
6,Jimmy Robertson,Jack Lisowski,3,2,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
7,Neil Robertson,Mark Selby,3,2,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
8,Neil Robertson,Ryan Day,3,1,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
9,Jack Lisowski,Mark Selby,3,0,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
10,Jack Lisowski,Ryan Day,3,2,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
11,Barry Hawkins,Ryan Day,3,2,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
12,Barry Hawkins,Jimmy Robertson,3,0,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
13,Barry Hawkins,Neil Robertson,3,1,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
14,Barry Hawkins,Mark Selby,3,1,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
15,Barry Hawkins,Luca Brecel,3,2,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
16,Barry Hawkins,Jack Lisowski,3,2,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
17,Ryan Day,Luca Brecel,3,1,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
18,Ryan Day,Jimmy Robertson,3,1,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
19,Luca Brecel,Jimmy Robertson,3,2,5,Group 1,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
20,Luca Brecel,Jack Lisowski,3,1,5,Group 1,2019-10-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
21,Neil Robertson,Mark Selby,3,2,5,Group 1 - Semi-final,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
22,Ryan Day,Barry Hawkins,3,0,5,Group 1 - Semi-final,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
23,Neil Robertson,Ryan Day,3,2,5,Group 1 - Final,2019-10-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
24,Kyren Wilson,Ryan Day,3,0,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
25,Gary Wilson,Ryan Day,3,0,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
26,Kyren Wilson,Mark Selby,3,2,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
27,Kyren Wilson,Jack Lisowski,3,0,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
28,Gary Wilson,Jack Lisowski,3,0,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
29,Kyren Wilson,Stuart Bingham,3,0,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
30,Kyren Wilson,Barry Hawkins,3,2,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
31,Gary Wilson,Kyren Wilson,3,2,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
32,Gary Wilson,Barry Hawkins,3,1,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
33,Mark Selby,Gary Wilson,3,0,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
34,Mark Selby,Ryan Day,3,0,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
35,Mark Selby,Jack Lisowski,3,0,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
36,Jack Lisowski,Ryan Day,3,2,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
37,Barry Hawkins,Jack Lisowski,3,1,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
38,Barry Hawkins,Stuart Bingham,3,1,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
39,Barry Hawkins,Mark Selby,3,2,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
40,Ryan Day,Barry Hawkins,3,0,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
41,Stuart Bingham,Mark Selby,3,2,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
42,Stuart Bingham,Ryan Day,3,2,5,Group 2,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
43,Stuart Bingham,Gary Wilson,3,1,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
44,Stuart Bingham,Jack Lisowski,3,2,5,Group 2,2019-10-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
45,Mark Selby,Kyren Wilson,3,1,5,Group 2 - Semi-final,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
46,Stuart Bingham,Gary Wilson,3,0,5,Group 2 - Semi-final,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
47,Stuart Bingham,Mark Selby,3,1,5,Group 2 - Final,2019-10-10,2020 Championship League,3275,2020,2019-10-07 00:00:00
48,Ben Woollaston,Xiao Guodong,3,2,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
49,Ben Woollaston,Kyren Wilson,3,1,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
50,Gary Wilson,Tom Ford,3,2,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
51,Kyren Wilson,Graeme Dott,3,2,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
52,Kyren Wilson,Tom Ford,3,2,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
53,Gary Wilson,Xiao Guodong,3,1,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
54,Gary Wilson,Ben Woollaston,3,1,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
55,Gary Wilson,Matthew Selt,3,2,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
56,Gary Wilson,Graeme Dott,3,2,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
57,Kyren Wilson,Gary Wilson,3,1,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
58,Matthew Selt,Xiao Guodong,3,2,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
59,Matthew Selt,Ben Woollaston,3,1,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
60,Matthew Selt,Kyren Wilson,3,2,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
61,Xiao Guodong,Graeme Dott,3,1,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
62,Xiao Guodong,Kyren Wilson,3,2,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
63,Tom Ford,Matthew Selt,3,1,5,Group 3,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
64,Tom Ford,Xiao Guodong,3,0,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
65,Tom Ford,Ben Woollaston,3,1,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
66,Tom Ford,Graeme Dott,3,0,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
67,Graeme Dott,Ben Woollaston,3,0,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
68,Graeme Dott,Matthew Selt,3,0,5,Group 3,2019-10-21,2020 Championship League,3275,2020,2019-10-07 00:00:00
69,Gary Wilson,Matthew Selt,3,1,5,Group 3 - Semi-final,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
70,Kyren Wilson,Tom Ford,3,2,5,Group 3 - Semi-final,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
71,Gary Wilson,Kyren Wilson,3,0,5,Group 3 - Final,2019-10-22,2020 Championship League,3275,2020,2019-10-07 00:00:00
72,Kyren Wilson,Tom Ford,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
73,Kyren Wilson,Joe Perry,3,2,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
74,Kyren Wilson,Ali Carter,3,2,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
75,Kyren Wilson,Matthew Selt,3,1,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
76,Kyren Wilson,Graeme Dott,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
77,Matthew Selt,Tom Ford,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
78,Joe Perry,Tom Ford,3,0,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
79,Joe Perry,Matthew Selt,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
80,Tom Ford,Scott Donaldson,3,2,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
81,Tom Ford,Ali Carter,3,1,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
82,Graeme Dott,Matthew Selt,3,1,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
83,Graeme Dott,Joe Perry,3,2,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
84,Graeme Dott,Ali Carter,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
85,Graeme Dott,Tom Ford,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
86,Scott Donaldson,Matthew Selt,3,0,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
87,Scott Donaldson,Kyren Wilson,3,2,5,Group 4,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
88,Scott Donaldson,Joe Perry,3,1,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
89,Scott Donaldson,Ali Carter,3,1,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
90,Scott Donaldson,Graeme Dott,3,1,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
91,Ali Carter,Joe Perry,3,1,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
92,Ali Carter,Matthew Selt,3,2,5,Group 4,2019-10-23,2020 Championship League,3275,2020,2019-10-07 00:00:00
93,Graeme Dott,Kyren Wilson,3,2,5,Group 4 - Semi-final,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
94,Scott Donaldson,Joe Perry,3,2,5,Group 4 - Semi-final,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
95,Scott Donaldson,Graeme Dott,3,0,5,Group 4 - Final,2019-10-24,2020 Championship League,3275,2020,2019-10-07 00:00:00
96,Kyren Wilson,Graeme Dott,3,0,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
97,Kyren Wilson,Joe Perry,3,2,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
98,Mark Williams,Graeme Dott,3,2,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
99,Mark Williams,Kyren Wilson,3,0,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
100,Mark Williams,Tom Ford,3,1,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
101,Mark Williams,David Gilbert,3,1,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
102,Mark Williams,Anthony McGill,3,0,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
103,Mark Williams,Joe Perry,3,1,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
104,Joe Perry,Tom Ford,3,2,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
105,Joe Perry,David Gilbert,3,0,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
106,Joe Perry,Anthony McGill,3,1,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
107,Anthony McGill,Graeme Dott,3,1,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
108,Anthony McGill,Kyren Wilson,3,1,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
109,Anthony McGill,David Gilbert,3,1,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
110,David Gilbert,Kyren Wilson,3,0,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
111,David Gilbert,Graeme Dott,3,2,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
112,David Gilbert,Tom Ford,3,2,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
113,Tom Ford,Anthony McGill,3,1,5,Group 5,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
114,Tom Ford,Kyren Wilson,3,2,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
115,Graeme Dott,Joe Perry,3,2,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
116,Graeme Dott,Tom Ford,3,0,5,Group 5,2020-01-06,2020 Championship League,3275,2020,2019-10-07 00:00:00
117,Anthony McGill,Joe Perry,3,2,5,Group 5 - Semi-final,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
118,David Gilbert,Mark Williams,3,2,5,Group 5 - Semi-final,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
119,Anthony McGill,David Gilbert,3,2,5,Group 5 - Final,2020-01-07,2020 Championship League,3275,2020,2019-10-07 00:00:00
120,Mark Williams,Judd Trump,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
121,Mark Williams,Mark King,3,0,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
122,Mark Williams,Joe Perry,3,2,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
123,Judd Trump,Joe Perry,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
124,Judd Trump,Graeme Dott,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
125,Judd Trump,Mark King,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
126,Judd Trump,John Higgins,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
127,Joe Perry,Mark King,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
128,Joe Perry,John Higgins,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
129,John Higgins,Graeme Dott,3,2,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
130,John Higgins,David Gilbert,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
131,John Higgins,Mark King,3,2,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
132,John Higgins,Mark Williams,3,2,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
133,David Gilbert,Judd Trump,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
134,David Gilbert,Mark King,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
135,David Gilbert,Graeme Dott,3,2,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
136,David Gilbert,Mark Williams,3,2,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
137,David Gilbert,Joe Perry,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
138,Graeme Dott,Mark Williams,3,1,5,Group 6,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
139,Graeme Dott,Joe Perry,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
140,Graeme Dott,Mark King,3,1,5,Group 6,2020-01-08,2020 Championship League,3275,2020,2019-10-07 00:00:00
141,Judd Trump,John Higgins,3,1,5,Group 6 - Semi-final,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
142,Graeme Dott,David Gilbert,3,2,5,Group 6 - Semi-final,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
143,Judd Trump,Graeme Dott,3,2,5,Group 6 - Final,2020-01-09,2020 Championship League,3275,2020,2019-10-07 00:00:00
144,Mark Williams,Graeme Dott,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
145,Mark Williams,Robert Milkins,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
146,Mark Williams,Ricky Walden,3,0,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
147,Ricky Walden,Graeme Dott,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
148,Ricky Walden,Robert Milkins,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
149,Robert Milkins,Lyu Haotian,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
150,John Higgins,Ricky Walden,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
151,John Higgins,Lyu Haotian,3,1,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
152,John Higgins,Robert Milkins,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
153,John Higgins,David Gilbert,3,0,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
154,John Higgins,Mark Williams,3,0,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
155,Lyu Haotian,Mark Williams,3,2,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
156,Lyu Haotian,Ricky Walden,3,0,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
157,David Gilbert,Robert Milkins,3,2,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
158,David Gilbert,Mark Williams,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
159,David Gilbert,Ricky Walden,3,2,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
160,David Gilbert,Lyu Haotian,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
161,Graeme Dott,Robert Milkins,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
162,Graeme Dott,Lyu Haotian,3,0,5,Group 7,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
163,Graeme Dott,David Gilbert,3,1,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
164,Graeme Dott,John Higgins,3,2,5,Group 7,2020-03-02,2020 Championship League,3275,2020,2019-10-07 00:00:00
165,Mark Williams,John Higgins,3,1,5,Group 7 - Semi-final,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
166,Graeme Dott,David Gilbert,3,0,5,Group 7 - Semi-final,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
167,Graeme Dott,Mark Williams,3,1,5,Group 7 - Final,2020-03-03,2020 Championship League,3275,2020,2019-10-07 00:00:00
168,Judd Trump,Gary Wilson,3,1,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
169,Judd Trump,Neil Robertson,3,0,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
170,Judd Trump,Stuart Bingham,3,1,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
171,Judd Trump,Anthony McGill,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
172,Judd Trump,Scott Donaldson,3,1,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
173,Judd Trump,Graeme Dott,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
174,Neil Robertson,Gary Wilson,3,1,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
175,Neil Robertson,Anthony McGill,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
176,Neil Robertson,Stuart Bingham,3,1,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
177,Anthony McGill,Scott Donaldson,3,0,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
178,Anthony McGill,Gary Wilson,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
179,Anthony McGill,Graeme Dott,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
180,Graeme Dott,Stuart Bingham,3,0,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
181,Graeme Dott,Gary Wilson,3,0,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
182,Graeme Dott,Neil Robertson,3,1,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
183,Graeme Dott,Scott Donaldson,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
184,Scott Donaldson,Neil Robertson,3,1,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
185,Scott Donaldson,Stuart Bingham,3,0,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
186,Scott Donaldson,Gary Wilson,3,2,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
187,Stuart Bingham,Anthony McGill,3,1,5,Winners Group,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
188,Stuart Bingham,Gary Wilson,3,0,5,Winners Group,2020-03-04,2020 Championship League,3275,2020,2019-10-07 00:00:00
189,Graeme Dott,Anthony McGill,3,2,5,Winners Group - Semi-final,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
190,Scott Donaldson,Judd Trump,3,1,5,Winners Group - Semi-final,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
191,Scott Donaldson,Graeme Dott,3,0,5,Winners Group - Final,2020-03-05,2020 Championship League,3275,2020,2019-10-07 00:00:00
192,Chen Zifan,Louis Heathcote,5,2,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
193,Zhou Yuelong,Bai Langning,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
194,Mei Xiwen,Alan McManus,5,3,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
195,Zhao Xintong,Sam Craigie,5,0,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
196,Ben Woollaston,Fan Zhengyi,5,2,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
197,Gary Wilson,Barry Pinches,5,3,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
198,Kyren Wilson,Si Jiahui,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
199,Mark Williams,Craig Steadman,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
200,Robbie Williams,Matthew Stevens,5,3,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
201,Michael White,Harvey Chandler,5,0,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
202,Jimmy White,Hammad Miah,5,4,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
203,Liang Wenbo,Chris Wakelin,5,1,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
204,Daniel Wells,Billy Joe Castle,5,3,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
205,Lee Walker,Joe O'Connor,5,3,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
206,Thepchaiya Un-Nooh,Chen Feilong,5,3,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
207,Yuan Sijun,Soheil Vahedi,5,2,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
208,Eden Sharav,John Astley,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
209,Matthew Selt,Mike Dunn,5,0,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
210,Mark Selby,Ken Doherty,5,4,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
211,Neil Robertson,Nigel Bond,5,2,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
212,Tian Pengfei,Joe Perry,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
213,Fraser Patrick,Mark Davis,5,3,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
214,Jackson Page,Jamie O'Neill,5,4,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
215,Martin O'Donnell,Jimmy Robertson,5,3,9,Last 128,2019-12-17,2020 European Masters,3364,2020,2019-12-17 00:00:00
216,Fergal O'Brien,Liam Highfield,5,4,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
217,Lu Ning,Oliver Lines,5,3,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
218,Shaun Murphy,Ashley Carty,5,2,9,Last 128,2019-12-18,2020 European Masters,3364,2020,2019-12-17 00:00:00
